,OBS,Area,Month,Year
0,213.93171949217935,North America,Jan,2012.0
1,2152.017355660879,Europe,Jan,2012.0
2,1956.3460620258695,European Union,Jan,2012.0
3,299.5395369832663,Other EU,Jan,2012.0
4,1656.1450580968592,EU15,Jan,2012.0
5,894.02197641642,Other countries,Jan,2012.0
6,190.57182646903638,North America,Feb,2012.0
7,2447.6291811556166,Europe,Feb,2012.0
8,2244.8708335493325,European Union,Feb,2012.0
9,216.53452080636097,Other EU,Feb,2012.0
10,2028.7013272861832,EU15,Feb,2012.0
11,726.0451049807184,Other countries,Feb,2012.0
12,235.60745403878468,North America,Mar,2012.0
13,2626.891162183503,Europe,Mar,2012.0
14,2403.1830174247907,European Union,Mar,2012.0
15,242.47510421037015,Other EU,Mar,2012.0
16,2161.0043656169546,EU15,Mar,2012.0
17,772.8902406028607,Other countries,Mar,2012.0
18,340.59371913295314,North America,Apr,2012.0
19,3573.9276972679318,Europe,Apr,2012.0
20,3357.6558659157968,European Union,Apr,2012.0
21,324.01075875179515,Other EU,Apr,2012.0
22,3033.521993142174,EU15,Apr,2012.0
23,930.1055288851933,Other countries,Apr,2012.0
24,249.9161761239038,North America,May,2012.0
25,3801.527157459146,Europe,May,2012.0
26,3471.8841475601466,European Union,May,2012.0
27,407.39673016726243,Other EU,May,2012.0
28,3064.87334188163,EU15,May,2012.0
29,606.1536581737873,Other countries,May,2012.0
30,343.6245517431436,North America,Jun,2012.0
31,4967.845973272926,Europe,Jun,2012.0
32,4601.419180524059,European Union,Jun,2012.0
33,430.7662080809355,Other EU,Jun,2012.0
34,4170.390161976204,EU15,Jun,2012.0
35,706.7851639410209,Other countries,Jun,2012.0
36,332.76976143209265,North America,Jul,2012.0
37,4732.209601963832,Europe,Jul,2012.0
38,4371.82425302731,European Union,Jul,2012.0
39,515.3390460111685,Other EU,Jul,2012.0
40,3856.403998593241,EU15,Jul,2012.0
41,597.3710104971498,Other countries,Jul,2012.0
42,338.83910975957247,North America,Aug,2012.0
43,5988.468607307379,Europe,Aug,2012.0
44,5494.227341134968,European Union,Aug,2012.0
45,649.9712045686013,Other EU,Aug,2012.0
46,4844.1448045013485,EU15,Aug,2012.0
47,830.3648704762212,Other countries,Aug,2012.0
48,361.0739748083352,North America,Sep,2012.0
49,5231.649572728817,Europe,Sep,2012.0
50,4765.333338837743,European Union,Sep,2012.0
51,491.2292054202361,Other EU,Sep,2012.0
52,4274.296673905425,EU15,Sep,2012.0
53,806.0905660266291,Other countries,Sep,2012.0
54,356.3742859860911,North America,Oct,2012.0
55,3983.2845615136716,Europe,Oct,2012.0
56,3711.3533031462644,European Union,Oct,2012.0
57,445.86684732660854,Other EU,Oct,2012.0
58,3261.6618022574744,EU15,Oct,2012.0
59,755.6897637932872,Other countries,Oct,2012.0
60,250.92962146996473,North America,Nov,2012.0
61,2375.8746467319556,Europe,Nov,2012.0
62,2212.2743134573107,European Union,Nov,2012.0
63,225.94224734986474,Other EU,Nov,2012.0
64,1987.5634388732688,EU15,Nov,2012.0
65,741.4602893817143,Other countries,Nov,2012.0
66,179.50643554394395,North America,Dec,2012.0
67,2336.10087675438,Europe,Dec,2012.0
68,2186.282508396428,European Union,Dec,2012.0
69,207.67387532353032,Other EU,Dec,2012.0
70,1981.2019138692558,EU15,Dec,2012.0
71,559.4524278249988,Other countries,Dec,2012.0
72,203.02609700937134,North America,Jan,2013.0
73,2416.564040108993,Europe,Jan,2013.0
74,2205.376578106826,European Union,Jan,2013.0
75,331.2950238212862,Other EU,Jan,2013.0
76,1872.3382051191518,EU15,Jan,2013.0
77,847.6763149357078,Other countries,Jan,2013.0
78,167.18856204835652,North America,Feb,2013.0
79,2387.3090257357635,Europe,Feb,2013.0
80,2180.6154009001325,European Union,Feb,2013.0
81,198.3197214203431,Other EU,Feb,2013.0
82,1983.7704232568083,EU15,Feb,2013.0
83,653.1666491078083,Other countries,Feb,2013.0
84,182.47834894227177,North America,Mar,2013.0
85,2592.8769891552397,Europe,Mar,2013.0
86,2390.727466993045,European Union,Mar,2013.0
87,271.91242075837073,Other EU,Mar,2013.0
88,2119.083651624045,EU15,Mar,2013.0
89,742.9638419564824,Other countries,Mar,2013.0
90,353.8612141545773,North America,Apr,2013.0
91,3578.2110934967104,Europe,Apr,2013.0
92,3343.5087983029416,European Union,Apr,2013.0
93,357.30144213410716,Other EU,Apr,2013.0
94,2985.748348354175,EU15,Apr,2013.0
95,972.5736104181365,Other countries,Apr,2013.0
96,308.34553792639707,North America,May,2013.0
97,4033.795591475819,Europe,May,2013.0
98,3762.384204394981,European Union,May,2013.0
99,342.5896610457689,Other EU,May,2013.0
